Designator,Mid X,Mid Y,Rotation,Layer
ANT101,149.155,-71.170152,0.0,top
C101,105.022499,-63.97,90.0,top
C102,114.8175,-74.022501,270.0,top
C103,103.555,-72.05,180.0,top
C104,112.4175,-74.17,0.0,top
C105,107.0225,-63.97,90.0,top
C106,110.0175,-63.97,90.0,top
C107,106.0225,-63.97,90.0,top
C108,114.4175,-70.890001,270.0,top
C109,114.4175,-68.89,90.0,top
C110,92.955,-64.37,0.0,top
C111,81.955,-78.77,270.0,top
C112,84.955,-74.9075,0.0,top
C113,116.6175,-74.422502,270.0,top
C801,128.911573,-70.19,0.0,top
C802,128.911573,-73.19,180.0,top
C803,130.911573,-73.19,0.0,top
C805,131.911573,-70.19,0.0,top
C807,134.431573,-72.19,0.0,top
C808,128.911573,-65.73,90.0,top
C809,127.911573,-65.73,90.0,top
C810,126.911573,-65.73,90.0,top
C811,125.911573,-65.749999,90.0,top
C812,119.961573,-65.69,270.0,top
C813,123.061573,-77.09,0.0,top
C814,130.061573,-76.24,180.0,top
C815,130.061573,-75.24,180.0,top
C816,130.411573,-65.89,90.0,top
C823,132.011573,-75.24,0.0,top
C825,139.291573,-74.435,90.0,top
C828,136.411573,-66.44,270.0,top
C829,139.651573,-76.635001,90.0,top
D101,89.155,-78.37,270.0,top
D102,105.8175,-76.1325,180.0,top
D103,113.0175,-77.9325,0.0,top
D104,105.805,-77.932499,180.0,top
D105,113.03,-76.132501,0.0,top
FB101,108.5375,-64.57,0.0,top
FB102,81.955,-75.37,270.0,top
J101,78.719846,-71.17,270.0,top
L801,128.926573,-72.19,0.0,top
L802,128.911573,-71.19,0.0,top
L803,131.926573,-71.19,0.0,top
L804,134.411573,-71.19,0.0,top
Q801,133.899073,-66.94,0.0,top
R101,81.755,-64.17,270.0,top
R102,93.035,-66.77,0.0,top
R103,80.555,-64.17,270.0,top
R104,93.035,-65.57,180.0,top
R802,137.424073,-66.44,270.0,top
R803,138.616574,-76.63,90.0,top
R804,139.311573,-71.049999,90.0,top
R805,130.951573,-68.15,0.0,top
RN101,109.4175,-76.97,270.0,top
U101,108.855,-69.42,180.0,top
U102,87.155,-66.17,0.0,top
U103,84.955,-78.1075,90.0,top
U104,86.17,-71.570499,0.0,top
U801,124.6175,-72.946599,270.0,top
U802,135.686573,-74.915,0.0,top
Y101,116.8675,-70.14,90.0,top
Y801,122.911573,-66.49,180.0,top
