Designator,Footprint,Quantity,Value,LCSC Part #
AE101,ANT-SMD_L3.2-W1.6,1,Antenna_Chip,C293767
C1,CP_Elec_4x5.4,1,22uF,C72502
"C103, C109, C110, C114, C115, C118, C119, C120",0402,8,C_0402_100nf_X7R,C1525
"C104, C105",0402,2,C_0402_18p_NP0,C1549
"C106, C113",0805,2,C_0805_1u_X7R,C28323
C107,0402,1,C_0402_10n_C0G,C15195
"C108, C117, C2",0805,3,C_0805_10u_X5R,C15850
"C111, C112",0402,2,C_0402_3p3_C0G,C1565
"C116, C3",0805,2,4.7uF,C1779
"D101, D104, D105, D106",0603,4,LED_0603_RED,C389517
"D102, D107, D108, D109, D110, D111, D112",D_SOD-323,7,1N5819WS,C191023
FB101,0805,1,300mΩ ±25% 600Ω@100MHz,C1017
J102,ZE05H-16DP-2H,1,ZE05H-16DP-2H,C5242960
J103,ZE05-16DS-HU,1,ZE05-16DS-HU/R,C3267442
L101,0402,1,2nH,C142239
L102,0402,1,2.2nH,C142238
Q101,SOT-23,1,AO3401A,C15127
"Q102, Q103, Q104",SOT-23,3,AO3400A,C20917
"R101, R108, R109, R110",0805,4,R_0805_100,C17408
"R102, R113, R115, R116",0805,4,R_0805_10k,C17414
"R103, R114, R117, R118",0603,4,R_0603_1k,C21190
"R104, R105, R106, R107",0603,4,R_0603_100,C22775
R111,0805,1,R_0603_220,C17557
"R119, R123, R124, R125",0402,4,R_0402_1k,C11702
R121,0402,1,R_0402_0,C17168
R122,0402,1,R_0402_499,C852807
"T101, T102, T103, T104, T105, T106, T107, T108, T109, T110, T111, T112, T113, T114, T115, T116",ZE05-2022SCF,16,ZE05-2022SCF,C570453
U1,SOT-23-5,1,SPX3819M5-L-3-3/TR,C9055
U101,QFN50P500X500X90-33N,1,ESP32-C3FH4,C2858491
U102,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U103,SOT-223-3_TabPin2,1,SPX1117M3-L-5-0/TR ,C6187
Y101,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40_Mhz,C2901712
